,ID RESTAURANT,GRADE,DBA,Latitude,Longitude,Exponential Smoothed Score,Probabilistic risk Score,Final Cluster,CUISINE DESCRIPTION
7563,50007321,A,NEW DRAGON SEA CHINESE RESTAURANT,40.85213353,-73.88450904,12.93668193,14.80371679,2,Chinese
7564,50007323,A,DUNKIN',40.70094959,-73.8313234,11.07016583,12.66782322,1,Donuts
7565,50007331,A,PALACE RESTAURANT,40.76116356,-73.96973557,10.38431416,11.88298876,1,American
7566,50007352,A,CHAMBERS,40.71464082,-74.00736241,12.60742582,14.42694212,3,American
7567,50007363,B,BABA COOL,40.68709463,-73.97536546,24.62025277,28.17347226,1,American
7568,50007366,A,THE ROOST,40.72900513,-73.97834818,7.929512957,9.073908191,1,Coffee/Tea
7569,50007379,A,matchpointnyc,40.58449724,-73.9745142,10.4981435,12.01324606,1,Soups/Salads/Sandwiches
7570,50007382,C,MEMORIES BAR SHEVROJA,40.59279149,-73.98837711,52.94456986,60.5855831,3,Eastern European
7571,50007424,B,CALEXICO,40.67424484,-73.98207924,24.06435555,27.53734739,0,Mexican
7572,50007431,B,KHAO KANG,40.74342898,-73.88861016,18.0228492,20.62392481,0,Thai
7573,50007468,A,TRIPLE 8 RESTAURANT,40.81595141,-73.90774437,9.832718621,11.2517864,2,Chinese
7574,50007470,B,LE BAOBAB-GOUYGUI RESTAURANT,40.80242431,-73.95067412,21.72439703,24.85968372,1,African
7575,50007471,A,COCO FRESH TEA & JUICE,40.75919713,-73.76875663,7.906258406,9.04729752,2,Coffee/Tea
7576,50007472,A,SUBWAY,0,0,10.69143967,12.23443892,0,Sandwiches
7577,50007475,C,BHATTI INDIAN GRILL,40.7422055,-73.98308939,39.6492047,45.37141755,2,Indian
7578,50007606,A,Bar B,40.73947021,-73.99902207,8.809512113,10.0809097,3,Italian
7579,50007610,A,KYOTO SUSHI,40.72506437,-73.94688927,8.259754615,9.451810655,1,Japanese
7580,50007618,A,GRAN MORSI,40.71405068,-74.00771946,12.93118608,14.79742777,2,Italian
7581,50007626,A,THE GLOBE TAVERN,40.74620734,-73.9150304,10.94925933,12.52946738,1,Irish
7582,50007628,A,LUCKY STAR CHINESE RESTAURANT,40.75053649,-73.86203446,8.259754615,9.451810655,1,Chinese
7583,50007666,A,BIBI WINECELLAR,40.72374978,-73.98362082,10.90759575,12.48179087,2,American
